Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Five Islands,NS ,CANADA ,5,,5,CampsitePermit,Full,Less than 20ft,08/07/2015,08/08/2015,1,1
Valleyview,VA ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/10/2015,09/11/2015,1,1
Whycocomagh,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/26/2015,08/27/2015,1,1
Porters Lake,GERMANY ,OTHER,2,1,3,CampsitePermit,Full,Less than 30ft,08/20/2015,08/21/2015,1,1
Rissers Beach,PE ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/09/2015,08/10/2015,1,1
Battery,NS ,CANADA ,1,,1,CampsitePermit,Senior,Less than 30ft,10/15/2015,10/16/2015,1,1
Mira River,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/21/2015,07/22/2015,,
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,10/09/2015,10/11/2015,2,1
Caribou Munroes,OR ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/26/2015,09/27/2015,1,1
Salsman,MA ,USA ,1,,1,CampsitePermit,Senior,Single Tent,09/02/2015,09/03/2015,1,1
Boylston,ON ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/10/2015,08/13/2015,3,1
Mira River,NS ,CANADA ,3,3,6,CampsitePermit,Full,Less than 40ft,07/03/2015,07/17/2015,14,1
Dollar Lake,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,08/14/2015,08/16/2015,2,1
Mira River,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/18/2015,06/19/2015,1,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/02/2015,08/04/2015,2,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,07/03/2015,07/05/2015,2,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 30ft,08/21/2015,08/27/2015,6,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Tents,08/14/2015,08/16/2015,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,07/10/2015,07/12/2015,2,1
Graves Island,NS ,CANADA ,5,,5,CampsitePermit,Full,Tents,07/31/2015,08/02/2015,2,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/10/2015,08/14/2015,4,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/26/2015,06/27/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/31/2015,08/03/2015,3,1
Ellenwood Lake,BC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/15/2015,07/16/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,09/04/2015,09/06/2015,2,1
Blomidon,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,07/04/2015,07/05/2015,1,1
Whycocomagh,FL ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/02/2015,08/03/2015,1,1
Dollar Lake,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,07/14/2015,07/15/2015,1,1
Rissers Beach,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,09/02/2015,09/03/2015,1,1
Mira River,NS ,CANADA ,5,,5,CampsitePermit,Full,Tents,07/06/2015,07/07/2015,1,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/12/2015,08/13/2015,1,1
Laurie,FL ,USA ,2,,2,CampsitePermit,Senior,Less than 40ft,08/23/2015,08/25/2015,2,1
Mira River,NS ,CANADA ,1,3,4,CampsitePermit,Full,Single Tent,08/03/2015,08/05/2015,2,1
Caribou Munroes,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/21/2015,07/22/2015,1,1
Battery,ON ,CANADA ,1,0,1,CampsitePermit,Full,Less than 20ft,08/11/2015,08/13/2015,2,1
The Islands,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,09/04/2015,09/06/2015,2,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/14/2015,08/16/2015,2,1
Mira River,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,08/06/2015,08/08/2015,2,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/15/2015,08/16/2015,1,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/17/2015,08/18/2015,1,1
Five Islands,NB ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/06/2015,08/07/2015,1,1
Laurie,IA ,USA ,3,,3,CampsitePermit,Full,Less than 20ft,08/13/2015,08/15/2015,2,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,10/09/2015,10/12/2015,3,1
Smileys,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/18/2015,07/19/2015,1,1
Whycocomagh,NJ ,USA ,4,,4,CampsitePermit,Senior,Less than 40ft,07/14/2015,07/17/2015,3,1
Battery,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,10/16/2015,10/18/2015,2,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,07/17/2015,07/19/2015,2,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/14/2015,08/16/2015,2,1
Cape Chignecto,ON ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,09/10/2015,09/11/2015,1,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/20/2015,08/21/2015,1,1
Five Islands,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,08/01/2015,08/02/2015,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/07/2015,07/09/2015,2,1
Laurie,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,08/17/2015,08/19/2015,2,1
Rissers Beach,NS ,CANADA ,1,,1,CampsitePermit,Full,Less than 20ft,07/03/2015,07/09/2015,6,1
Caribou Munroes,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/01/2015,09/02/2015,1,1
Rissers Beach,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/16/2015,07/17/2015,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,09/03/2015,09/06/2015,3,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/16/2015,07/18/2015,2,1
Thomas Raddall,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,09/05/2015,09/07/2015,2,1
Boylston,CT ,USA ,2,,2,CampsitePermit,Full,Less than 30ft,09/09/2015,09/10/2015,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/04/2015,09/07/2015,3,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/18/2015,09/20/2015,2,1
Dollar Lake,NS ,CANADA ,1,3,4,CampsitePermit,Full,Tents,07/01/2015,07/02/2015,1,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/23/2015,07/24/2015,1,1
Battery,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/25/2015,09/26/2015,1,1
Five Islands,NS ,CANADA ,3,1,4,CampsitePermit,Full,Single Tent,08/04/2015,08/06/2015,2,1
Graves Island,QC ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,07/17/2015,07/19/2015,2,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,06/13/2015,06/16/2015,3,1
Dollar Lake,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,07/02/2015,07/03/2015,1,1
Amherst Shore,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/31/2015,08/01/2015,1,1
Caribou Munroes,NM ,USA ,2,,2,CampsitePermit,Senior,Single Tent,08/25/2015,08/26/2015,1,1
Amherst Shore,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/18/2015,09/20/2015,2,1
Battery,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/16/2015,07/17/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,09/04/2015,09/07/2015,3,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/14/2015,08/16/2015,2,1
Five Islands,QC ,CANADA ,1,,1,CampsitePermit,Full,Less than 20ft,07/14/2015,07/17/2015,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/17/2015,07/19/2015,2,1
Mira River,QC ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/17/2015,08/18/2015,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/03/2015,07/05/2015,2,1
Five Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,09/05/2015,09/06/2015,1,1
Amherst Shore,ON ,CANADA ,2,,2,CampsitePermit,Full,Tents,07/01/2015,07/02/2015,1,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Senior,Less than 20ft,08/09/2015,08/11/2015,2,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,06/19/2015,06/21/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,10/09/2015,10/12/2015,3,1
The Islands,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,08/03/2015,08/09/2015,6,1
Porters Lake,ON ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/27/2015,07/28/2015,1,1
Rissers Beach,NS ,CANADA ,1,,1,CampsitePermit,Senior,Single Tent,10/09/2015,10/10/2015,1,1
Caribou Munroes,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/11/2015,08/12/2015,1,1
Salsman,NS ,CANADA ,5,,5,CampsitePermit,Full,Less than 20ft,07/16/2015,07/18/2015,2,1
Mira River,NS ,CANADA ,4,0,4,CampsitePermit,Senior,Less than 20ft,07/09/2015,07/12/2015,3,1
Battery,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,09/14/2015,09/15/2015,1,1
Mira River,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,08/02/2015,08/03/2015,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/05/2015,09/06/2015,1,1
Salsman,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,07/20/2015,07/21/2015,1,1
Battery,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/13/2015,06/14/2015,1,1
Five Islands,VT ,USA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/17/2015,08/18/2015,1,1
Valleyview,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Single Tent,08/10/2015,08/11/2015,1,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/15/2015,08/18/2015,3,1
Whycocomagh,NB ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/19/2015,08/20/2015,1,1
Cape Chignecto,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,05/15/2015,05/16/2015,1,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/10/2015,07/11/2015,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,08/04/2015,08/05/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/07/2015,08/09/2015,2,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,07/31/2015,08/03/2015,3,1
Whycocomagh,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,10/10/2015,10/12/2015,2,1
Whycocomagh,MA ,USA ,2,,2,CampsitePermit,Senior,Single Tent,07/15/2015,07/16/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/14/2015,08/17/2015,3,1
Blomidon,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/06/2015,07/08/2015,2,1
Caribou Munroes,UK ,OTHER,2,,2,CampsitePermit,Full,Single Tent,09/17/2015,09/18/2015,1,1
Dollar Lake,NS ,CANADA ,4,3,7,CampsitePermit,Full,Tents,07/17/2015,07/19/2015,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/19/2015,06/21/2015,2,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/02/2015,08/03/2015,1,1
Thomas Raddall,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/25/2015,08/26/2015,1,1
Laurie,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,09/05/2015,09/07/2015,2,1
Thomas Raddall,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 30ft,06/04/2015,06/07/2015,3,1
Amherst Shore,ON ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/07/2015,09/08/2015,1,1
Blomidon,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 40ft,07/25/2015,07/29/2015,4,1
Thomas Raddall,ON ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/28/2015,08/29/2015,1,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/11/2015,08/14/2015,3,1
Smileys,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/10/2015,07/12/2015,2,1
Laurie,BC ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/13/2015,07/14/2015,1,1
Caribou Munroes,NS ,CANADA ,3,1,4,CampsitePermit,Full,Tents,08/26/2015,08/28/2015,2,1
Battery,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/29/2015,08/31/2015,2,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/17/2015,07/19/2015,2,1
Ellenwood Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,06/27/2015,06/28/2015,1,1
Thomas Raddall,NS ,CANADA ,3,3,6,CampsitePermit,Full,Tents,08/02/2015,08/04/2015,2,1
Graves Island,GERMANY ,OTHER,1,,1,CampsitePermit,Full,Less than 20ft,07/29/2015,07/30/2015,1,1
Blomidon,AUSTRIA ,OTHER,2,,2,CampsitePermit,Full,Single Tent,08/05/2015,08/06/2015,1,1
Caribou Munroes,QC ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/04/2015,08/06/2015,2,1
Rissers Beach,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,08/09/2015,08/15/2015,6,1
Smileys,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Rissers Beach,AB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/02/2015,07/03/2015,1,1
Blomidon,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,07/31/2015,08/02/2015,2,1
Dollar Lake,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/02/2015,08/03/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/17/2015,08/18/2015,1,1
Salsman,WA ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/30/2015,07/31/2015,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/06/2015,09/07/2015,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/13/2015,08/16/2015,3,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/19/2015,07/20/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,10/02/2015,10/04/2015,2,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,07/23/2015,07/26/2015,3,1
Mira River,QC ,CANADA ,6,1,7,CampsitePermit,Full,Less than 20ft,08/16/2015,08/17/2015,1,1
Boylston,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/01/2015,08/03/2015,2,1
Rissers Beach,NY ,USA ,2,,2,CampsitePermit,Full,Single Tent,06/29/2015,07/01/2015,2,1
Amherst Shore,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/08/2015,08/09/2015,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/16/2015,08/18/2015,2,1
Laurie,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/20/2015,07/21/2015,1,1
Porters Lake,NS ,CANADA ,1,3,4,CampsitePermit,Full,Single Tent,08/01/2015,08/02/2015,1,1
Amherst Shore,NB ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/21/2015,08/23/2015,2,1
Graves Island,DENMARK,OTHER,3,,3,CampsitePermit,Full,Less than 30ft,06/22/2015,06/23/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,10/02/2015,10/04/2015,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/30/2015,09/01/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/05/2015,09/07/2015,2,1
Rissers Beach,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,08/02/2015,08/07/2015,5,1
Porters Lake,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/15/2015,08/16/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,07/24/2015,08/02/2015,9,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/31/2015,08/07/2015,7,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,08/28/2015,08/30/2015,2,1
Dollar Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Thomas Raddall,AB ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/01/2015,07/02/2015,1,1
Mira River,NS ,CANADA ,3,3,6,CampsitePermit,Full,Less than 20ft,08/21/2015,08/23/2015,2,1
Dollar Lake,GERMANY ,OTHER,2,1,3,CampsitePermit,Full,Less than 20ft,09/04/2015,09/05/2015,1,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/24/2015,07/26/2015,2,1
Valleyview,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/01/2015,08/02/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/26/2015,06/27/2015,1,1
Valleyview,BC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,06/26/2015,06/27/2015,1,1
Dollar Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/08/2015,07/10/2015,2,1
Five Islands,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,10/09/2015,10/12/2015,3,1
Blomidon,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,05/30/2015,05/31/2015,1,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,06/29/2015,07/01/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/29/2015,07/30/2015,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/29/2015,08/31/2015,2,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/31/2015,08/02/2015,2,1
Amherst Shore,ME ,USA ,2,,2,CampsitePermit,Senior,Single Tent,07/10/2015,07/12/2015,2,1
Porters Lake,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,05/16/2015,05/17/2015,1,1
Rissers Beach,NS ,CANADA ,2,3,2,CampsitePermit,Full,Less than 30ft,07/18/2015,07/19/2015,,
Caribou Munroes,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/13/2015,08/14/2015,1,1
Laurie,SWEDEN,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,07/28/2015,07/30/2015,2,1
Mira River,MD ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,08/12/2015,08/13/2015,1,1
The Islands,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,07/17/2015,07/19/2015,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/04/2015,09/07/2015,3,1
Thomas Raddall,PA ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/24/2015,07/25/2015,1,1
Amherst Shore,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/14/2015,08/16/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/26/2015,07/02/2015,6,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/21/2015,07/22/2015,1,1
Battery,PE ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,10/17/2015,10/18/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,09/21/2015,09/24/2015,3,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/17/2015,07/19/2015,2,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/18/2015,07/19/2015,1,1
Blomidon,OR ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/02/2015,07/08/2015,6,1
Thomas Raddall,ON ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/16/2015,08/18/2015,2,1
Five Islands,VA ,USA ,2,2,4,CampsitePermit,Full,Single Tent,07/22/2015,07/25/2015,3,1
Graves Island,GERMANY ,OTHER,2,3,5,CampsitePermit,Full,Less than 30ft,08/18/2015,08/19/2015,1,1
Graves Island,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,08/06/2015,08/09/2015,3,1
Five Islands,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/28/2015,08/30/2015,2,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/31/2015,08/03/2015,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,05/20/2015,05/22/2015,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/10/2015,07/11/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/11/2015,06/16/2015,5,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/20/2015,06/21/2015,1,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/17/2015,07/19/2015,2,1
Mira River,BC ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,09/02/2015,09/05/2015,3,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,10/09/2015,10/10/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/03/2015,08/05/2015,2,1
Porters Lake,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/12/2015,08/14/2015,2,1
Battery,MB ,CANADA ,1,,1,CampsitePermit,Senior,Single Tent,10/17/2015,10/19/2015,2,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/29/2015,08/30/2015,1,1
Graves Island,QC ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,07/18/2015,07/22/2015,4,1
Graves Island,ON ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,05/19/2015,05/20/2015,1,1
Cape Chignecto,NB ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,07/07/2015,07/09/2015,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Ellenwood Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/27/2015,08/31/2015,4,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,09/11/2015,09/13/2015,2,1
Porters Lake,QC ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,07/06/2015,07/07/2015,1,1
Caribou Munroes,NB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/03/2015,08/04/2015,1,1
Thomas Raddall,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,07/31/2015,08/02/2015,2,1
Caribou Munroes,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/24/2015,07/26/2015,2,1
Laurie,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,08/02/2015,08/04/2015,2,1
The Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,06/26/2015,06/29/2015,3,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/19/2015,06/21/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/10/2015,07/12/2015,2,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,FULL,Less than 30ft,07/04/2015,07/05/2015,1,1
Porters Lake,AB ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/30/2015,08/31/2015,1,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,07/11/2015,07/13/2015,2,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,09/05/2015,09/07/2015,2,1
Cape Chignecto,NS ,CANADA ,4,2,6,CampsitePermit,Full,Single Tent,09/04/2015,09/07/2015,3,1
Salsman,NS ,CANADA ,4,,4,CampsitePermit,Full,Greater than 40ft,07/13/2015,07/17/2015,4,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/03/2015,09/07/2015,4,1
Rissers Beach,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,09/19/2015,09/23/2015,4,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/24/2015,07/26/2015,2,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/25/2015,07/26/2015,1,1
Cape Chignecto,NS ,CANADA ,3,3,6,CampsitePermit,Full,Single Tent,08/01/2015,08/03/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/27/2015,08/30/2015,3,1
Mira River,NL ,CANADA ,2,1,3,CampsitePermit,FULL,Less than 40ft,08/02/2015,08/05/2015,3,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/14/2015,08/15/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/19/2015,06/21/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,05/22/2015,05/26/2015,4,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/08/2015,09/10/2015,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/28/2015,08/29/2015,1,1
